t3,d_sensor3
0.65,541.0
0.651,547.0
0.652,551.0
0.653,553.0
0.654,552.0
0.655,548.0
0.656,544.0
0.657,540.0
0.658,535.0
0.659,531.0
0.66,527.0
0.661,526.0
0.662,529.0
0.663,532.0
0.664,536.0
0.665,541.0
0.666,547.0
0.667,553.0
0.668,558.0
0.669,561.0
0.67,563.0
0.671,561.0
0.672,558.0
0.673,553.0
0.674,548.0
0.675,543.0
0.676,539.0
0.677,536.0
0.678,535.0
0.679,536.0
0.68,539.0
0.681,543.0
0.682,548.0
0.683,554.0
0.684,560.0
0.685,565.0
0.686,568.0
0.687,567.0
0.6880000000000001,563.0
0.6890000000000001,558.0
0.6900000000000001,552.0
0.6910000000000001,547.0
0.6920000000000001,541.0
0.6930000000000001,536.0
0.6940000000000001,533.0
0.6950000000000001,532.0
0.6960000000000001,532.0
0.6970000000000001,535.0
0.6980000000000001,539.0
0.6990000000000001,545.0
0.7000000000000001,552.0
0.7010000000000001,559.0
0.7020000000000001,563.0
0.7030000000000001,563.0
0.704,560.0
0.705,554.0
0.706,548.0
0.707,543.0
0.708,538.0
0.709,532.0
0.71,529.0
0.711,527.0
0.712,526.0
0.713,527.0
0.714,530.0
0.715,533.0
0.716,536.0
0.717,537.0
0.718,538.0
0.719,539.0
0.72,537.0
0.721,533.0
0.722,526.0
0.723,518.0
0.724,510.0
0.725,504.0
0.726,499.0
0.727,495.0
0.728,494.0
0.729,493.0
0.73,495.0
0.731,497.0
0.732,502.0
0.733,507.0
0.734,510.0
0.735,512.0
0.736,512.0
0.737,508.0
0.738,501.0
0.739,494.0
0.74,486.0
0.741,477.0
0.742,469.0
0.743,461.0
0.744,456.0
0.745,454.0
0.746,454.0
0.747,454.0
0.748,457.0
0.749,463.0
0.75,469.0
0.751,473.0
0.752,475.0
0.753,475.0
0.754,472.0
0.755,466.0
0.756,460.0
0.757,454.0
0.758,448.0
0.759,443.0
0.76,438.0
0.761,435.0
0.762,434.0
0.763,436.0
0.764,440.0
0.765,445.0
0.766,451.0
0.767,455.0
0.768,459.0
0.769,461.0
0.77,460.0
0.771,456.0
0.772,451.0
0.773,446.0
0.774,441.0
0.775,436.0
0.776,433.0
0.777,430.0
0.778,428.0
0.779,430.0
0.78,433.0
0.781,439.0
0.782,445.0
0.783,451.0
0.784,455.0
0.785,460.0
0.786,462.0
0.787,460.0
0.788,457.0
0.789,452.0
0.79,447.0
0.791,441.0
0.792,437.0
0.793,433.0
0.794,431.0
0.795,432.0
0.796,435.0
0.797,440.0
0.798,445.0
0.799,451.0
0.8,458.0
0.801,463.0
0.802,468.0
0.803,470.0
0.804,469.0
0.805,466.0
0.806,462.0
0.807,456.0
0.808,449.0
0.809,444.0
0.81,442.0
0.811,442.0
0.812,444.0
0.8130000000000001,448.0
0.8140000000000001,454.0
0.8150000000000001,460.0
0.8160000000000001,467.0
0.8170000000000001,474.0
0.8180000000000001,479.0
0.8190000000000001,481.0
0.8200000000000001,480.0
0.8210000000000001,479.0
0.8220000000000001,476.0
0.8230000000000001,471.0
0.8240000000000001,464.0
0.8250000000000001,460.0
0.8260000000000001,455.0
0.8270000000000001,453.0
0.8280000000000001,453.0
0.8290000000000001,455.0
0.8300000000000001,457.0
0.8310000000000001,462.0
0.8320000000000001,467.0
0.833,475.0
0.834,483.0
0.835,488.0
0.836,491.0
0.837,490.0
0.838,487.0
0.839,483.0
0.84,479.0
0.841,473.0
0.842,468.0
0.843,465.0
0.844,463.0
0.845,463.0
0.846,466.0
0.847,471.0
0.848,476.0
0.849,483.0
0.85,490.0
0.851,493.0
0.852,496.0
0.853,497.0
0.854,495.0
0.855,491.0
0.856,486.0
0.857,480.0
0.858,475.0
0.859,472.0
0.86,468.0
0.861,467.0
0.862,467.0
0.863,471.0
0.864,477.0
0.865,484.0
0.866,490.0
0.867,496.0
0.868,500.0
0.869,503.0
0.87,503.0
0.871,501.0
0.872,497.0
0.873,493.0
0.874,487.0
0.875,481.0
0.876,476.0
0.877,471.0
0.878,470.0
0.879,472.0
0.88,476.0
0.881,481.0
0.882,488.0
0.883,495.0
0.884,502.0
0.885,506.0
0.886,508.0
0.887,508.0
0.888,506.0
0.889,502.0
0.89,495.0
0.891,489.0
0.892,483.0
0.893,481.0
0.894,479.0
0.895,478.0
0.896,480.0
0.897,483.0
0.898,487.0
0.899,494.0
0.9,500.0
0.901,504.0
0.902,508.0
0.903,510.0
0.904,510.0
0.905,508.0
0.906,503.0
0.907,496.0
0.908,489.0
0.909,485.0
0.91,481.0
0.911,479.0
0.912,479.0
0.913,481.0
0.914,487.0
0.915,494.0
0.916,499.0
0.917,504.0
0.918,508.0
0.919,512.0
0.92,512.0
0.921,509.0
0.922,504.0
0.923,499.0
0.924,495.0
0.925,491.0
0.926,486.0
0.927,483.0
0.928,482.0
0.929,484.0
0.93,487.0
0.931,493.0
0.932,499.0
0.933,505.0
0.934,512.0
0.935,517.0
0.936,519.0
0.937,516.0
0.9380000000000001,512.0
0.9390000000000001,508.0
0.9400000000000001,504.0
0.9410000000000001,498.0
0.9420000000000001,492.0
0.9430000000000001,486.0
0.9440000000000001,483.0
0.9450000000000001,482.0
0.9460000000000001,484.0
0.9470000000000001,487.0
0.9480000000000001,492.0
0.9490000000000001,497.0
0.9500000000000001,503.0
0.9510000000000001,508.0
0.9520000000000001,512.0
0.9530000000000001,513.0
0.9540000000000001,512.0
0.9550000000000001,510.0
0.9560000000000001,507.0
0.9570000000000001,503.0
0.9580000000000001,498.0
0.9590000000000001,494.0
0.96,489.0
0.961,486.0
0.962,486.0
0.963,488.0
0.964,492.0
0.965,498.0
0.966,504.0
0.967,511.0
0.968,515.0
0.969,518.0
0.97,518.0
0.971,515.0
0.972,510.0
0.973,505.0
0.974,499.0
0.975,492.0
0.976,487.0
0.977,485.0
0.978,486.0
0.979,487.0
0.98,490.0
0.981,495.0
0.982,500.0
0.983,507.0
0.984,514.0
0.985,520.0
0.986,523.0
0.987,521.0
0.988,517.0
0.989,512.0
0.99,507.0
0.991,503.0
0.992,498.0
0.993,495.0
0.994,492.0
0.995,491.0
0.996,493.0
0.997,497.0
0.998,501.0
0.999,507.0
1.0,512.0
1.0010000000000001,516.0
1.002,522.0
1.0030000000000001,525.0
1.004,523.0
1.0050000000000001,518.0
1.006,513.0
1.0070000000000001,508.0
1.008,503.0
1.0090000000000001,500.0
1.01,497.0
1.0110000000000001,495.0
1.012,495.0
1.0130000000000001,496.0
1.014,500.0
1.0150000000000001,504.0
1.016,509.0
1.0170000000000001,514.0
1.018,518.0
1.0190000000000001,521.0
1.02,521.0
1.0210000000000001,518.0
1.022,513.0
1.0230000000000001,508.0
1.024,504.0
1.025,499.0
1.026,495.0
1.027,491.0
1.028,490.0
1.029,492.0
1.03,496.0
1.031,502.0
1.032,509.0
1.033,513.0
1.034,517.0
1.035,520.0
1.036,522.0
1.037,521.0
1.038,519.0
1.039,514.0
1.04,509.0
1.041,504.0
1.042,499.0
1.043,495.0
1.044,493.0
1.045,493.0
1.046,497.0
1.047,503.0
1.048,509.0
1.049,515.0
1.05,521.0
1.051,524.0
1.052,527.0
1.053,527.0
1.054,524.0
1.055,519.0
1.056,513.0
1.057,508.0
1.058,502.0
1.059,498.0
1.06,495.0
1.061,494.0
1.062,497.0
1.063,499.0
1.064,501.0
1.065,504.0
1.066,511.0
1.067,517.0
1.068,522.0
1.069,527.0
1.07,526.0
1.071,524.0
1.072,520.0
1.073,515.0
1.074,509.0
1.075,503.0
1.076,499.0
1.077,496.0
1.078,496.0
1.079,499.0
1.08,504.0
1.081,510.0
1.082,516.0
1.083,523.0
1.084,527.0
1.085,529.0
1.086,529.0
1.087,526.0
1.088,520.0
1.089,515.0
1.09,511.0
1.091,505.0
1.092,498.0
1.093,493.0
1.094,493.0
1.095,497.0
1.096,502.0
1.097,507.0
1.098,512.0
1.099,517.0
1.1,523.0
1.101,527.0
1.102,528.0
1.103,528.0
1.104,527.0
1.105,523.0
1.106,517.0
1.107,510.0
1.108,504.0
1.109,499.0
1.11,497.0
1.111,497.0
1.112,497.0
1.113,499.0
1.114,504.0
1.115,511.0
1.116,516.0
1.117,522.0
1.118,526.0
1.119,529.0
1.12,527.0
1.121,524.0
1.122,520.0
1.123,514.0
1.124,507.0
1.125,502.0
1.1260000000000001,497.0
1.127,495.0
1.1280000000000001,495.0
1.129,497.0
1.1300000000000001,499.0
1.131,503.0
1.1320000000000001,510.0
1.133,518.0
1.1340000000000001,524.0
1.135,527.0
1.1360000000000001,528.0
1.137,527.0
1.1380000000000001,524.0
1.139,520.0
1.1400000000000001,515.0
1.141,510.0
1.1420000000000001,507.0
1.143,503.0
1.1440000000000001,498.0
1.145,497.0
1.1460000000000001,499.0
1.147,502.0
1.1480000000000001,507.0
1.149,513.0
1.1500000000000001,518.0
1.151,522.0
1.1520000000000001,526.0
1.153,525.0
1.154,523.0
1.155,519.0
1.156,515.0
1.157,510.0
1.158,504.0
1.159,499.0
1.16,496.0
1.161,496.0
1.162,496.0
1.163,499.0
1.164,504.0
1.165,510.0
1.166,516.0
1.167,523.0
1.168,528.0
1.169,531.0
1.17,531.0
1.171,527.0
1.172,522.0
1.173,515.0
1.174,509.0
1.175,504.0
1.176,500.0
1.177,497.0
1.178,496.0
1.179,498.0
1.18,501.0
1.181,505.0
1.182,511.0
1.183,515.0
1.184,521.0
1.185,526.0
1.186,529.0
1.187,527.0
1.188,524.0
1.189,519.0
1.19,513.0
1.191,505.0
1.192,499.0
1.193,496.0
1.194,494.0
1.195,495.0
1.196,499.0
1.197,504.0
1.198,510.0
1.199,516.0
1.2,521.0
1.201,525.0
1.202,527.0
1.203,527.0
1.204,527.0
1.205,524.0
1.206,519.0
1.207,514.0
1.208,509.0
1.209,505.0
1.21,501.0
1.211,500.0
1.212,502.0
1.213,504.0
1.214,507.0
1.215,510.0
1.216,515.0
1.217,521.0
1.218,526.0
1.219,528.0
1.22,528.0
1.221,524.0
1.222,520.0
1.223,516.0
1.224,511.0
1.225,505.0
1.226,501.0
1.227,498.0
1.228,497.0
1.229,499.0
1.23,503.0
1.231,507.0
1.232,512.0
1.233,516.0
1.234,519.0
1.235,523.0
1.236,524.0
1.237,522.0
1.238,519.0
1.239,515.0
1.24,511.0
1.241,507.0
1.242,503.0
1.243,499.0
1.244,498.0
1.245,497.0
1.246,499.0
1.247,503.0
1.248,507.0
1.249,512.0
1.25,517.0
1.2510000000000001,521.0
1.252,524.0
1.2530000000000001,523.0
1.254,519.0
1.2550000000000001,513.0
1.256,506.0
1.2570000000000001,498.0
1.258,490.0
1.2590000000000001,483.0
1.26,479.0
1.2610000000000001,477.0
1.262,478.0
1.2630000000000001,479.0
1.264,482.0
1.2650000000000001,486.0
1.266,491.0
1.2670000000000001,497.0
1.268,500.0
1.2690000000000001,502.0
1.27,501.0
1.2710000000000001,497.0
1.272,494.0
1.2730000000000001,490.0
1.274,485.0
1.2750000000000001,480.0
1.276,476.0
1.2770000000000001,475.0
1.278,475.0
1.2790000000000001,479.0
1.28,482.0
1.281,486.0
1.282,492.0
1.283,497.0
1.284,502.0
1.285,506.0
1.286,507.0
1.287,506.0
1.288,504.0
1.289,500.0
1.29,496.0
1.291,492.0
1.292,489.0
1.293,486.0
1.294,484.0
1.295,484.0
1.296,486.0
1.297,489.0
1.298,494.0
1.299,501.0
1.3,507.0
1.301,513.0
1.302,517.0
1.303,518.0
1.304,516.0
1.305,513.0
1.306,509.0
1.307,506.0
1.308,503.0
1.309,500.0
1.31,497.0
1.311,496.0
1.312,498.0
1.313,503.0
1.314,508.0
1.315,514.0
1.316,520.0
1.317,526.0
1.318,530.0
1.319,531.0
1.32,531.0
1.321,528.0
1.322,525.0
1.323,520.0
1.324,515.0
1.325,510.0
1.326,505.0
1.327,501.0
1.328,498.0
1.329,498.0
1.33,500.0
1.331,504.0
1.332,510.0
1.333,515.0
1.334,521.0
1.335,527.0
1.336,529.0
1.337,527.0
1.338,525.0
1.339,520.0
1.34,516.0
1.341,511.0
1.342,505.0
1.343,500.0
1.344,497.0
1.345,497.0
1.346,499.0
1.347,503.0
1.348,508.0
1.349,515.0
1.35,521.0
1.351,526.0
1.352,529.0
1.353,530.0
1.354,528.0
1.355,525.0
1.356,519.0
1.357,513.0
1.358,508.0
1.359,504.0
1.36,499.0
1.361,496.0
1.362,495.0
1.363,496.0
1.364,499.0
1.365,501.0
1.366,504.0
1.367,508.0
1.368,512.0
1.369,513.0
1.37,512.0
1.371,509.0
1.372,504.0
1.373,498.0
1.374,492.0
1.375,487.0
1.3760000000000001,483.0
1.377,480.0
1.3780000000000001,480.0
1.379,483.0
1.3800000000000001,488.0
1.381,495.0
1.3820000000000001,502.0
1.383,508.0
1.3840000000000001,513.0
1.385,516.0
1.3860000000000001,516.0
1.387,513.0
1.3880000000000001,509.0
1.389,505.0
1.3900000000000001,499.0
1.391,492.0
1.3920000000000001,487.0
1.393,484.0
1.3940000000000001,483.0
1.395,484.0
1.3960000000000001,486.0
1.397,489.0
1.3980000000000001,493.0
1.399,499.0
1.4000000000000001,504.0
1.401,508.0
1.4020000000000001,509.0
1.403,508.0
1.4040000000000001,504.0
1.405,498.0
1.4060000000000001,490.0
1.407,481.0
1.408,473.0
1.409,467.0
1.41,463.0
1.411,463.0
1.412,464.0
1.413,467.0
1.414,475.0
1.415,484.0
1.416,497.0
1.417,513.0
1.418,527.0
1.419,540.0
1.42,549.0
1.421,558.0
1.422,568.0
1.423,575.0
1.424,583.0
1.425,594.0
1.426,607.0
1.427,620.0
1.428,638.0
1.429,658.0
1.43,679.0
1.431,702.0
1.432,723.0
1.433,742.0
1.434,757.0
1.435,768.0
1.436,775.0
1.437,778.0
1.438,777.0
1.439,771.0
1.44,760.0
