t5,d_sensor5
0.495,511.0
0.496,511.0
0.497,511.0
0.498,510.0
0.499,509.0
0.5,516.0
0.501,521.0
0.502,520.0
0.503,528.0
0.504,532.0
0.505,518.0
0.506,498.0
0.507,484.0
0.508,483.0
0.509,494.0
0.51,500.0
0.511,499.0
0.512,496.0
0.513,496.0
0.514,498.0
0.515,503.0
0.516,509.0
0.517,510.0
0.518,507.0
0.519,505.0
0.52,504.0
0.521,501.0
0.522,500.0
0.523,499.0
0.524,500.0
0.525,502.0
0.526,500.0
0.527,494.0
0.528,498.0
0.529,508.0
0.53,514.0
0.531,516.0
0.532,516.0
0.533,518.0
0.534,519.0
0.535,519.0
0.536,514.0
0.537,514.0
0.538,518.0
0.539,523.0
0.54,521.0
0.541,516.0
0.542,509.0
0.543,508.0
0.544,509.0
0.545,511.0
0.546,511.0
0.547,510.0
0.548,507.0
0.549,502.0
0.55,498.0
0.551,495.0
0.552,492.0
0.553,491.0
0.554,496.0
0.555,501.0
0.556,503.0
0.557,506.0
0.558,508.0
0.559,506.0
0.56,507.0
0.561,503.0
0.562,499.0
0.5630000000000001,499.0
0.5640000000000001,500.0
0.5650000000000001,502.0
0.5660000000000001,502.0
0.5670000000000001,498.0
0.5680000000000001,494.0
0.5690000000000001,492.0
0.5700000000000001,493.0
0.5710000000000001,490.0
0.5720000000000001,488.0
0.5730000000000001,484.0
0.5740000000000001,481.0
0.5750000000000001,478.0
0.5760000000000001,478.0
0.577,480.0
0.578,486.0
0.579,490.0
0.58,495.0
0.581,501.0
0.582,507.0
0.583,517.0
0.584,532.0
0.585,547.0
0.586,559.0
0.587,576.0
0.588,591.0
0.589,607.0
0.59,623.0
0.591,634.0
0.592,644.0
0.593,653.0
0.594,661.0
0.595,669.0
0.596,677.0
0.597,678.0
0.598,675.0
0.599,671.0
0.6,673.0
0.601,678.0
0.602,678.0
0.603,675.0
0.604,678.0
0.605,680.0
0.606,679.0
0.607,669.0
0.608,652.0
0.609,634.0
0.61,620.0
0.611,606.0
0.612,583.0
0.613,561.0
0.614,549.0
0.615,546.0
0.616,547.0
0.617,548.0
0.618,538.0
0.619,532.0
0.62,525.0
0.621,516.0
0.622,506.0
0.623,495.0
0.624,482.0
0.625,475.0
0.626,475.0
0.627,475.0
0.628,474.0
0.629,476.0
0.63,480.0
0.631,481.0
0.632,483.0
0.633,490.0
0.634,496.0
0.635,494.0
0.636,495.0
0.637,499.0
0.638,502.0
0.639,502.0
0.64,500.0
0.641,495.0
0.642,495.0
0.643,493.0
0.644,492.0
0.645,497.0
0.646,501.0
0.647,499.0
0.648,497.0
0.649,498.0
0.65,499.0
0.651,497.0
0.652,494.0
0.653,491.0
0.654,489.0
0.655,487.0
0.656,486.0
0.657,488.0
0.658,491.0
0.659,492.0
0.66,489.0
0.661,488.0
0.662,488.0
0.663,489.0
0.664,491.0
0.665,492.0
0.666,492.0
0.667,492.0
0.668,494.0
0.669,496.0
0.67,496.0
0.671,494.0
