t2,d_sensor2
0.644,480.0
0.645,479.0
0.646,480.0
0.647,480.0
0.648,475.0
0.649,472.0
0.65,470.0
0.651,471.0
0.652,473.0
0.653,475.0
0.654,477.0
0.655,480.0
0.656,483.0
0.657,488.0
0.658,492.0
0.659,495.0
0.66,496.0
0.661,495.0
0.662,491.0
0.663,487.0
0.664,483.0
0.665,479.0
0.666,475.0
0.667,472.0
0.668,472.0
0.669,474.0
0.67,479.0
0.671,484.0
0.672,489.0
0.673,493.0
0.674,497.0
0.675,499.0
0.676,499.0
0.677,497.0
0.678,495.0
0.679,493.0
0.68,489.0
0.681,485.0
0.682,483.0
0.683,481.0
0.684,481.0
0.685,480.0
0.686,481.0
0.687,483.0
0.6880000000000001,484.0
0.6890000000000001,486.0
0.6900000000000001,491.0
0.6910000000000001,496.0
0.6920000000000001,499.0
0.6930000000000001,500.0
0.6940000000000001,499.0
0.6950000000000001,497.0
0.6960000000000001,494.0
0.6970000000000001,492.0
0.6980000000000001,490.0
0.6990000000000001,488.0
0.7000000000000001,487.0
0.7010000000000001,486.0
0.7020000000000001,487.0
0.7030000000000001,487.0
0.704,489.0
0.705,490.0
0.706,493.0
0.707,496.0
0.708,497.0
0.709,499.0
0.71,500.0
0.711,499.0
0.712,498.0
0.713,496.0
0.714,494.0
0.715,489.0
0.716,486.0
0.717,484.0
0.718,483.0
0.719,485.0
0.72,486.0
0.721,491.0
0.722,496.0
0.723,500.0
0.724,504.0
0.725,505.0
0.726,506.0
0.727,505.0
0.728,502.0
0.729,499.0
0.73,494.0
0.731,489.0
0.732,486.0
0.733,483.0
0.734,483.0
0.735,485.0
0.736,488.0
0.737,492.0
0.738,495.0
0.739,497.0
0.74,499.0
0.741,501.0
0.742,501.0
0.743,500.0
0.744,497.0
0.745,493.0
0.746,487.0
0.747,483.0
0.748,478.0
0.749,473.0
0.75,473.0
0.751,476.0
0.752,483.0
0.753,488.0
0.754,494.0
0.755,497.0
0.756,501.0
0.757,504.0
0.758,506.0
0.759,506.0
0.76,505.0
0.761,505.0
0.762,503.0
0.763,501.0
0.764,499.0
0.765,498.0
0.766,496.0
0.767,493.0
0.768,490.0
0.769,489.0
0.77,492.0
